date,team,points,mp
4/29/2013,Chelsea,65,34
4/29/2013,Arsenal,64,35
4/29/2013,Tottenham,62,34
4/29/2013,Everton,59,35
4/29/2013,Liverpool,54,35
4/29/2013,West Brom,48,34
4/29/2013,Swansea City,42,34
4/29/2013,West Ham,42,35
4/29/2013,Fulham,40,35
4/29/2013,Stoke City,40,35
4/29/2013,Southampton,39,35
4/29/2013,Norwich City,38,35
4/29/2013,Sunderland,37,34
4/29/2013,Newcastle Utd,37,35
4/29/2013,Aston Villa,34,34
4/29/2013,Wigan Athletic,32,34
4/29/2013,QPR,25,35
4/29/2013,Reading,25,35
5/4/2013,Manchester Utd,85,35
5/4/2013,Manchester City,71,34
5/4/2013,Chelsea,65,34
5/4/2013,Arsenal,64,35
5/4/2013,Tottenham,62,34
5/4/2013,Everton,59,35
5/4/2013,Liverpool,54,35
5/4/2013,West Brom,48,34
5/4/2013,Swansea City,42,34
5/4/2013,West Ham,42,35
5/4/2013,Fulham,40,35
5/4/2013,Stoke City,40,35
5/4/2013,Southampton,39,35
5/4/2013,Norwich City,38,35
5/4/2013,Sunderland,37,35
5/4/2013,Aston Villa,37,35
5/4/2013,Newcastle Utd,37,35
5/4/2013,Wigan Athletic,32,34
5/4/2013,QPR,25,35
5/4/2013,Reading,25,35
5/5/2013,Manchester Utd,85,35
5/5/2013,Manchester City,72,35
5/5/2013,Arsenal,67,36
5/5/2013,Chelsea,65,34
5/5/2013,Tottenham,65,35
5/5/2013,Everton,59,35
5/5/2013,Liverpool,54,35
5/5/2013,West Brom,48,35
5/5/2013,Swansea City,43,35
5/5/2013,West Ham,43,36
5/5/2013,Stoke City,40,35
5/5/2013,Fulham,40,36
5/5/2013,Aston Villa,40,36
5/5/2013,Southampton,39,36
5/5/2013,Norwich City,38,36
5/5/2013,Newcastle Utd,38,36
5/5/2013,Sunderland,37,35
5/5/2013,Wigan Athletic,35,35
5/5/2013,Reading,28,36
5/5/2013,QPR,25,36
5/6/2013,Manchester Utd,85,36
5/6/2013,Manchester City,72,35
5/6/2013,Chelsea,68,35
5/6/2013,Arsenal,67,36
5/6/2013,Tottenham,65,35
5/6/2013,Everton,60,36
5/6/2013,Liverpool,55,36
5/6/2013,West Brom,48,35
5/6/2013,Swansea City,43,35
5/6/2013,West Ham,43,36
5/6/2013,Stoke City,40,35
5/6/2013,Fulham,40,36
5/6/2013,Aston Villa,40,36
5/6/2013,Southampton,39,36
5/6/2013,Norwich City,38,36
5/6/2013,Newcastle Utd,38,36
5/6/2013,Sunderland,37,35
5/6/2013,Wigan Athletic,35,35
5/6/2013,Reading,28,36
5/6/2013,QPR,25,36
5/7/2013,Manchester Utd,85,36
5/7/2013,Manchester City,72,35
5/7/2013,Chelsea,68,35
5/7/2013,Arsenal,67,36
5/7/2013,Tottenham,65,35
5/7/2013,Everton,60,36
5/7/2013,Liverpool,55,36
5/7/2013,West Brom,48,35
5/7/2013,Swansea City,43,35
5/7/2013,West Ham,43,36
5/7/2013,Stoke City,41,36
5/7/2013,Fulham,40,36
5/7/2013,Aston Villa,40,36
5/7/2013,Southampton,39,36
5/7/2013,Sunderland,38,36
5/7/2013,Norwich City,38,36
5/7/2013,Newcastle Utd,38,36
5/7/2013,Wigan Athletic,35,35
5/7/2013,Reading,28,36
5/7/2013,QPR,25,36
5/8/2013,Manchester Utd,85,36
5/8/2013,Manchester City,75,36
5/8/2013,Chelsea,68,35
5/8/2013,Arsenal,67,36
5/8/2013,Tottenham,65,35
5/8/2013,Everton,60,36
5/8/2013,Liverpool,55,36
5/8/2013,West Brom,48,36
5/8/2013,Swansea City,46,36
5/8/2013,West Ham,43,36
5/8/2013,Stoke City,41,36
5/8/2013,Fulham,40,36
5/8/2013,Aston Villa,40,36
5/8/2013,Southampton,39,36
5/8/2013,Sunderland,38,36
5/8/2013,Norwich City,38,36
5/8/2013,Newcastle Utd,38,36
5/8/2013,Wigan Athletic,35,36
5/8/2013,Reading,28,36
5/8/2013,QPR,25,36
5/11/2013,Manchester Utd,85,36
5/11/2013,Manchester City,75,36
5/11/2013,Chelsea,69,36
5/11/2013,Arsenal,67,36
5/11/2013,Tottenham,66,36
5/11/2013,Everton,60,36
5/11/2013,Liverpool,55,36
5/11/2013,West Brom,48,36
5/11/2013,Swansea City,46,36
5/11/2013,West Ham,43,36
5/11/2013,Stoke City,41,36
5/11/2013,Fulham,40,36
5/11/2013,Aston Villa,40,36
5/11/2013,Southampton,39,36
5/11/2013,Sunderland,38,36
5/11/2013,Norwich City,38,36
5/11/2013,Newcastle Utd,38,36
5/11/2013,Wigan Athletic,35,36
5/11/2013,Reading,28,36
5/11/2013,QPR,25,36
5/12/2013,Manchester Utd,85,36
5/12/2013,Manchester City,75,36
5/12/2013,Chelsea,72,37
5/12/2013,Arsenal,67,36
5/12/2013,Tottenham,66,36
5/12/2013,Everton,60,36
5/12/2013,Liverpool,55,36
5/12/2013,West Brom,48,36
5/12/2013,Swansea City,46,36
5/12/2013,West Ham,43,36
5/12/2013,Stoke City,41,36
5/12/2013,Fulham,40,36
5/12/2013,Aston Villa,40,37
5/12/2013,Southampton,39,36
5/12/2013,Sunderland,38,36
5/12/2013,Norwich City,38,36
5/12/2013,Newcastle Utd,38,36
5/12/2013,Wigan Athletic,35,36
5/12/2013,Reading,28,36
5/12/2013,QPR,25,36
5/14/2013,Manchester Utd,88,37
5/14/2013,Manchester City,75,36
5/14/2013,Chelsea,72,37
5/14/2013,Tottenham,69,37
5/14/2013,Arsenal,67,36
5/14/2013,Everton,63,37
5/14/2013,Liverpool,58,37
5/14/2013,West Brom,48,37
5/14/2013,Swansea City,46,37
5/14/2013,West Ham,43,37
5/14/2013,Stoke City,41,37
5/14/2013,Norwich City,41,37
5/14/2013,Newcastle Utd,41,37
5/14/2013,Southampton,40,37
5/14/2013,Fulham,40,37
5/14/2013,Aston Villa,40,37
